=== [1/5] Thu Aug 20 00:04:53 UTC 2026 run_main_results.py --dataset toniot --seeds 42 43 44 ===
01:05:07 | INFO    | src.pipeline | [toniot] Preparing dataset (Delta t = 60s, mapping='primary')...
01:05:07 | INFO    | src.data.base_adapter | Reading /mnt/c/Users/kumar2_m/iiot-gnn-ids/data/raw/toniot/Train_Test_Network.csv ...
01:05:14 | INFO    | src.data.base_adapter | Loaded 461,043 rows, 45 raw columns from 1 file(s).
01:05:14 | INFO    | src.data.generic_adapter | [toniot] Matched identity/label columns: {'timestamp': 'ts', 'src_id': 'src_ip', 'dst_id': 'dst_ip', 'binary_label': 'label', 'attack_type': 'type'}
01:05:14 | INFO    | src.data.generic_adapter | [toniot] Data quality: {'n_rows_raw': 461043, 'n_rows_kept': 461043, 'n_distinct_assets': 11536, 'timestamp_parseable_frac': 1.0, 'has_peer_id': True, 'attack_type_source': 'column'}
01:05:26 | INFO    | src.graph.graph_builder | Graph built: 34,435 nodes | 20,336 interaction-edge endpoints | 45,798 temporal-edge endpoints
01:05:26 | INFO    | src.pipeline | [toniot] Prepared 34,435 window instances (27,326 train / 3,796 val / 3,313 test), 126 features.
01:05:37 | INFO    | run_main_results | [toniot] dataset summary written.
01:05:37 | INFO    | run_main_results | [toniot] Training 9 models x 3 seeds for stage detection...
01:05:37 | INFO    | src.training.model_comparison | [model_comparison] === seed 42 ===
01:05:37 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:05:44 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:05:53 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 5-fold asset-disjoint CV...
01:06:05 | INFO    | src.training.stage_detector_trainer |   fold 1/5: 5466 held-out train instances scored
01:06:18 | INFO    | src.training.stage_detector_trainer |   fold 2/5: 5465 held-out train instances scored
01:06:26 | INFO    | src.training.stage_detector_trainer |   fold 3/5: 5465 held-out train instances scored
01:06:42 | INFO    | src.training.stage_detector_trainer |   fold 4/5: 5465 held-out train instances scored
01:06:56 | INFO    | src.training.stage_detector_trainer |   fold 5/5: 5465 held-out train instances scored
01:06:56 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:21:55 | INFO    | src.training.model_comparison | [model_comparison] === seed 43 ===
01:21:55 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:22:02 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:22:16 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 5-fold asset-disjoint CV...
01:22:27 | INFO    | src.training.stage_detector_trainer |   fold 1/5: 5466 held-out train instances scored
01:22:37 | INFO    | src.training.stage_detector_trainer |   fold 2/5: 5465 held-out train instances scored
01:22:56 | INFO    | src.training.stage_detector_trainer |   fold 3/5: 5465 held-out train instances scored
01:23:11 | INFO    | src.training.stage_detector_trainer |   fold 4/5: 5465 held-out train instances scored
01:23:21 | INFO    | src.training.stage_detector_trainer |   fold 5/5: 5465 held-out train instances scored
01:23:21 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
01:31:12 | INFO    | src.training.model_comparison | [model_comparison] === seed 44 ===
01:31:12 | INFO    | src.training.stage_detector_trainer | Fitting final Random Forest on full train split...
01:31:17 | INFO    | src.training.stage_detector_trainer | Fitting final GCN on full train split (transductive forward pass over full graph)...
01:31:23 | INFO    | src.training.stage_detector_trainer | Generating out-of-fold stacking features with 5-fold asset-disjoint CV...
01:31:31 | INFO    | src.training.stage_detector_trainer |   fold 1/5: 5466 held-out train instances scored
01:31:40 | INFO    | src.training.stage_detector_trainer |   fold 2/5: 5465 held-out train instances scored
01:31:47 | INFO    | src.training.stage_detector_trainer |   fold 3/5: 5465 held-out train instances scored
01:32:01 | INFO    | src.training.stage_detector_trainer |   fold 4/5: 5465 held-out train instances scored
01:32:11 | INFO    | src.training.stage_detector_trainer |   fold 5/5: 5465 held-out train instances scored
01:32:11 | INFO    | src.training.stage_detector_trainer | Fitting stacking meta-learner (type=logistic_regression)...
